Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Avg. Altitude,Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,613,673,733,8.52E-03,97.9,98,12,12,,6/19/14,,SpaceQuest,USA,,ZARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,694,772,850,1.09E-02,98.2,100.3,12,12,,6/29/04,,Aprize Satellite ,Argentina,,www.satellitedebris.net 12/12,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx608.html,http://www.spacenewsfeed.co.uk/2004/4July2004_11.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,559,610.5,662,7.38E-03,98.18,97,12,12,,7/29/09,,SpaceQuest,USA,,www.satellitedebris.net 12/12,http://www.talksatellite.com/Americas-A830.htm,http://www.aprizesat.com/press/AprizeSat_Launch_9-8-08.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,604,639,674,4.99E-03,98.1,97.5,12,12,,7/29/09,,SpaceQuest,USA,,www.satellitedebris.net 12/12,http://www.talksatellite.com/Americas-A830.htm,http://www.aprizesat.com/press/AprizeSat_Launch_9-8-08.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,594,631.5,669,5.36E-03,97.8,97.99,12,12,,11/21/13,,SpaceQuest,USA,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,613,664,715,7.25E-03,97.9,98,12,12,,6/19/14,,SpaceQuest,USA,,ZARYA,http://www.nasaspaceflight.com/2014/06/russian-dnepr-rocket-record-launch-37-satellites/,http://www.astronautix.com/craft/aprzesat.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,,0,506,506.5,507,7.27E-05,97.48,94.75,500,,,11/6/14,3 yrs.,NEC,Japan,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014,https://directory.eoportal.org/web/eoportal/satellite-missions/a/asnaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,583,600.5,618,2.51E-03,97.99,96.7,25,,,6/19/14,1 yr.,Sputnix Ltd.,Russia,,ZARYA,http://www.nasaspaceflight.com/2014/06/russian-dnepr-rocket-record-launch-37-satellites/,http://www.spaceref.com/news/viewpr.html?pid=43438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,709,713.5,718,6.35E-04,98.3,99,1,,,9/23/09,1 yr.,Technische Universität Berlin,Germany,,www.satellitedebris.net 12/12,http://www.raumfahrttechnik.tu-berlin.de/beesat/,http://www.amsat.org/amsat-new/satellites/satInfo.php?satID=129&retURL=satellites/all_oscars.php,http://www.springerlink.com/content/q3r417hl51v8061p/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO,Sun-Synchronous,0,555,567,579,1.73E-03,64.8,96.01,1,,,4/19/13,1 yr.,Technische Universität Berlin,Germany,,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
